Name,Ref,Type,SourceSchema
SellerWarrantyDescription		SuperLongStringNotNull	Beauty.xsd
SizeMap		StringNotNull	Beauty.xsd
BrandRegionOfOrigin		StringNotNull	Beauty.xsd
SpecialFeatures		StringNotNull	Beauty.xsd
TargetAudienceBase		StringNotNull	Beauty.xsd
Language		LanguageStringType	Beauty.xsd
ExternalTestingCertification		StringNotNull	Beauty.xsd
IsExpirationDatedProduct		xsd:boolean	Beauty.xsd
ProductExpirationType		StringNotNull	Beauty.xsd
FcShelfLife		xsd:positiveInteger	Beauty.xsd
FcShelfLifePadTime		xsd:positiveInteger	Beauty.xsd
